simSteps Time(ms) Input(Iapp) Output(V_axon)
0 0.000 0.000 -59.97596717
1 0.000 0.000 -59.93814174
2 0.000 0.000 -59.89083755
3 0.000 0.000 -59.83696460
4 0.000 0.000 -59.77852657
5 0.000 0.000 -59.71693315
6 0.000 0.000 -59.65319852
7 0.000 0.000 -59.58806894
8 0.000 0.000 -59.52210561
9 0.000 0.000 -59.45573939
10 0.001 0.000 -59.38930724
11 0.001 0.000 -59.32307697
12 0.001 0.000 -59.25726428
13 0.001 0.000 -59.19204467
14 0.001 0.000 -59.12756206
15 0.001 0.000 -59.06393494
16 0.001 0.000 -59.00126105
17 0.001 0.000 -58.93962090
18 0.001 0.000 -58.87908053
19 0.001 0.000 -58.81969364
20 0.001 0.000 -58.76150336
21 0.001 0.000 -58.70454372
22 0.001 0.000 -58.64884080
23 0.001 0.000 -58.59441376
24 0.001 0.000 -58.54127572
25 0.001 0.000 -58.48943451
26 0.001 0.000 -58.43889329
27 0.001 0.000 -58.38965115
28 0.001 0.000 -58.34170362
29 0.001 0.000 -58.29504308
30 0.002 0.000 -58.24965919
31 0.002 0.000 -58.20553922
32 0.002 0.000 -58.16266838
33 0.002 0.000 -58.12103009
34 0.002 0.000 -58.08060626
35 0.002 0.000 -58.04137748
36 0.002 0.000 -58.00332324
37 0.002 0.000 -57.96642213
38 0.002 0.000 -57.93065195
39 0.002 0.000 -57.89598994
40 0.002 0.000 -57.86241283
41 0.002 0.000 -57.82989700
42 0.002 0.000 -57.79841860
43 0.002 0.000 -57.76795359
44 0.002 0.000 -57.73847787
45 0.002 0.000 -57.70996734
46 0.002 0.000 -57.68239798
47 0.002 0.000 -57.65574587
48 0.002 0.000 -57.62998727
49 0.002 0.000 -57.60509868
50 0.003 0.000 -57.58105684
51 0.003 0.000 -57.55783880
52 0.003 0.000 -57.53542192
53 0.003 0.000 -57.51378392
54 0.003 0.000 -57.49290290
55 0.003 0.000 -57.47275733
56 0.003 0.000 -57.45332610
57 0.003 0.000 -57.43458850
58 0.003 0.000 -57.41652427
59 0.003 0.000 -57.39911358
60 0.003 0.000 -57.38233702
61 0.003 0.000 -57.36617564
62 0.003 0.000 -57.35061093
63 0.003 0.000 -57.33562484
64 0.003 0.000 -57.32119973
65 0.003 0.000 -57.30731845
66 0.003 0.000 -57.29396425
67 0.003 0.000 -57.28112084
68 0.003 0.000 -57.26877236
69 0.003 0.000 -57.25690335
70 0.004 0.000 -57.24549880
71 0.004 0.000 -57.23454412
72 0.004 0.000 -57.22402509
73 0.004 0.000 -57.21392792
74 0.004 0.000 -57.20423921
75 0.004 0.000 -57.19494593
76 0.004 0.000 -57.18603544
77 0.004 0.000 -57.17749547
78 0.004 0.000 -57.16931409
79 0.004 0.000 -57.16147975
80 0.004 0.000 -57.15398124
81 0.004 0.000 -57.14680765
82 0.004 0.000 -57.13994845
83 0.004 0.000 -57.13339338
84 0.004 0.000 -57.12713253
85 0.004 0.000 -57.12115626
86 0.004 0.000 -57.11545526
87 0.004 0.000 -57.11002047
88 0.004 0.000 -57.10484313
89 0.004 0.000 -57.09991474
90 0.004 0.000 -57.09522708
91 0.005 0.000 -57.09077215
92 0.005 0.000 -57.08654225
93 0.005 0.000 -57.08252987
94 0.005 0.000 -57.07872777
95 0.005 0.000 -57.07512891
96 0.005 0.000 -57.07172649
97 0.005 0.000 -57.06851392
98 0.005 0.000 -57.06548480
99 0.005 0.000 -57.06263296
100 0.005 0.000 -57.05995241
101 0.005 0.000 -57.05743733
102 0.005 0.000 -57.05508211
103 0.005 0.000 -57.05288131
104 0.005 0.000 -57.05082966
105 0.005 0.000 -57.04892205
106 0.005 0.000 -57.04715354
107 0.005 0.000 -57.04551934
108 0.005 0.000 -57.04401483
109 0.005 0.000 -57.04263550
110 0.005 0.000 -57.04137701
111 0.006 0.000 -57.04023516
112 0.006 0.000 -57.03920586
113 0.006 0.000 -57.03828517
114 0.006 0.000 -57.03746927
115 0.006 0.000 -57.03675445
116 0.006 0.000 -57.03613713
117 0.006 0.000 -57.03561384
118 0.006 0.000 -57.03518121
119 0.006 0.000 -57.03483599
120 0.006 0.000 -57.03457503
121 0.006 0.000 -57.03439527
122 0.006 0.000 -57.03429376
123 0.006 0.000 -57.03426763
124 0.006 0.000 -57.03431412
125 0.006 0.000 -57.03443052
126 0.006 0.000 -57.03461425
127 0.006 0.000 -57.03486278
128 0.006 0.000 -57.03517368
129 0.006 0.000 -57.03554458
130 0.006 0.000 -57.03597319
131 0.007 0.000 -57.03645731
132 0.007 0.000 -57.03699477
133 0.007 0.000 -57.03758351
134 0.007 0.000 -57.03822150
135 0.007 0.000 -57.03890681
136 0.007 0.000 -57.03963754
137 0.007 0.000 -57.04041187
138 0.007 0.000 -57.04122801
139 0.007 0.000 -57.04208427
140 0.007 0.000 -57.04297897
141 0.007 0.000 -57.04391051
142 0.007 0.000 -57.04487732
143 0.007 0.000 -57.04587791
144 0.007 0.000 -57.04691081
145 0.007 0.000 -57.04797460
146 0.007 0.000 -57.04906792
147 0.007 0.000 -57.05018943
